U+8885	袅	⿹④衣
U+88CA	裊	⿹⑦衣
U+88E6	裦	⿳亠⿰③矛𧘇
U+890E	褎	⿳亠⿰③禾𧘇
U+890F	褏	⿳亠⿰③由𧘇
U+8943	襃	⿳亠⿰③呆𧘇
U+8A67	詧	⿱⿰⿴𠂊冫②言
U+8B45	譅	⿰言&JSP-457C;
U+8C4B	豋	⿱⿰⿴𠂊冫②豆
U+8C61	象	⿱&GT-K02380;𧰨
U+8CB5	貵	⿱&GT-K01085;貝
U+8CBF	貿	⿱⿰③刀貝
U+8CF7	賷	⿱&GT-K07262;貝
U+8D38	贸	⿱⿰③刀贝
U+8D64	赤	⿱土④
U+8D71	赱	⿱土③
U+8EEC	軬	⿱&GT-K01085;車
U+8FA8	辨	⿲辛②辛
U+9030	逰	⿺辶⿰扌&CDP-8C55;
U+90CE	郎	⿰⿱丶⑤阝
U+90D2	郒	⿰⿱丶⑤邑[GT]
U+90F7	郷	⿲乡⑤阝
U+9115	鄕	⿲乡⑦阝[J]
U+9253	鉓	⿰金&CDP-8DB3;
U+9421	鐡	⿰金⿹𢦏&GT-K01888;
U+9577	長	⿳④一⿰𠄌⿺乀丿
U+9578	镸	⿱④𠫔
U+9665	陥	⿰⻖&GT-K03318;
U+96CB	雋	⿱隹④
U+97F2	韲	⿱⿱亠⿲刀丫③韭
U+9809	頉	⿰③頁
U+98E0	飠	⿱人⿱丶⑤
U+9970	饰	⿰饣&CDP-8DB3;
U+99AC	馬	⿹⑥灬
U+9A6C	马	⿹②一
U+9AA8	骨	⿱⑤月[G]	⿱⑥⺼[TV]	⿱⑥月[JK]
U+9AD9	髙	⿳亠④冋
U+9B1B	鬛	⿳髟龱⑦
U+9B30	鬰	⿱&U-i002+2FF1;林⿱爻冖⿰鬯彡
U+9B31	鬱	⿱&U-i002+2FF1;林⿱缶冖⿰鬯彡
U+9BD7	鯗	⿱&GT-K03457;魚
U+9CE5	鳥	⿹⑦灬
U+9CEC	鳬	⿹⑦几
U+9D56	鵖	⿰⑤鳥[G]
U+9DF0	鷰	⿱⿱廿&CDP-8D76;鳥
U+9E1F	鸟	⿹④一
U+9EA5	麥	⿱來&GT-K00207;
U+9ED1	黑	⿱⑧灬
U+9ED9	黙	⿱⿰⑧犬灬[T]
U+9F0E	鼎	⿶⑧目
U+9F20	鼠	⿱臼⑦
U+9F4A	齊	⿱⿱亠⿲刀丫③⿲丿二丨
U+9F8D	龍	⿰𦚏⑦
