U+28094	𨂔	⿰𧾷育	⿰𧾷育
U+28095	𨂕	⿰𧾷林
U+28096	𨂖	⿰𧾷泣
U+28097	𨂗	⿰𧾷孤
U+28098	𨂘	⿰𧾷㸒
U+28099	𨂙	⿰𧾷京
U+2809A	𨂚	⿰𧾷⿱丷共
U+2809B	𨂛	⿰𧾷⿱𡗜干	⿰𧾷𢆎
U+2809C	𨂜	⿰𧾷虎
U+2809D	𨂝	⿱並足
U+2809E	𨂞	⿱足並
U+2809F	𨂟	⿰𧾷⿳𠂉𡈼儿
U+280A0	𨂠	⿰𧾷頁
U+280A1	𨂡	⿰𧾷奏
U+280A2	𨂢	⿱即足
U+280A3	𨂣	⿱敄足	⿱⿰矛攵足
U+280A4	𨂤	⿰𧾷致
U+280A5	𨂥	⿰𧾷客
U+280A6	𨂦	⿰𧾷彖
U+280A7	𨂧	⿰𧾷𦍒
U+280A8	𨂨	⿰𧾷羍
U+280A9	𨂩	⿰𧾷癹
U+280AA	𨂪	⿰𧾷彥
U+280AB	𨂫	⿰𧾷㡿
U+280AC	𨂬	⿳⿱十冖田足	⿳𣎵田足
U+280AD	𨂭	⿰𧾷毒
U+280AE	𨂮	⿳亼⿴囗⺌足	⿳亼𡆧足
U+280AF	𨂯	⿰𧾷便
U+280B0	𨂰	⿰𧾷契
U+280B1	𨂱	⿰𧾷軍
U+280B2	𨂲	⿰𧾷屏
U+280B3	𨂳	⿰𧾷㢲
U+280B4	𨂴	⿰𧾷怱
U+280B5	𨂵	⿰𧾷臿
U+280B6	𨂶	⿰𧾷𧆞
U+280B7	𨂷	⿰𧾷厘
U+280B8	𨂸	⿰𧾷侯
U+280B9	𨂹	⿰𧾷⿳刀田刀
U+280BA	𨂺	⿰𧾷弯
U+280BB	𨂻	⿰𧾷⿱爫旧	⿰𧾷舀
U+280BC	𨂼	⿰𧾷𮙥
U+280BD	𨂽	⿰𧾷⿱石水	⿰𧾷泵
U+280BE	𨂾	⿰𧾷南
U+280BF	𨂿	⿰𧾷歪
U+280C0	𨃀	⿰𧾷柬
U+280C1	𨃁	⿰𧾷財	⿲𧾷耳才
U+280C2	𨃂	⿰𧾷咸
U+280C3	𨃃	⿰𧾷曷
U+280C4	𨃄	⿰𧾷畏
U+280C5	𨃅	⿰𧾷拜
U+280C6	𨃆	⿰𧾷胍
U+280C7	𨃇	⿰𧾷姜
U+280C8	𨃈	⿰𧾷巷
U+280C9	𨃉	⿰𧾷待
U+280CA	𨃊	⿰𧾷点
U+280CB	𨃋	⿰𧾷芾	⿰𧾷⿱艹市
U+280CC	𨃌	⿰𧾷持
U+280CD	𨃍	⿰𧾷突
U+280CE	𨃎	⿰𧾷𪾋
U+280CF	𨃏	⿰𧾷侵
U+280D0	𨃐	⿰𧾷苔
U+280D1	𨃑	⿰𧾷挑
U+280D2	𨃒	⿰𧾷⿱𤰄力	⿰𧾷⿳刀用力
U+280D3	𨃓	⿰𧾷茶
U+280D4	𨃔	⿰𧾷臬
U+280D5	𨃕	⿰𧾷畜
U+280D6	𨃖	⿰𧾷荂
U+280D7	𨃗	⿸朕足	⿰月⿱龹足
U+280D8	𨃘	⿰𧾷芻
U+280D9	𨃙	⿰𧾷栗
U+280DA	𨃚	⿰𧾷荅
U+280DB	𨃛	⿰𧾷𬯁	⿰𧾷⿰⻖辛
U+280DC	𨃜	⿰𧾷條
U+280DD	𨃝	⿰𧾷徒
U+280DE	𨃞	⿱般足
U+280DF	𨃟	⿰𧾷般
U+280E0	𨃠	⿰𧾷唐
U+280E1	𨃡	⿰𧾷息
U+280E2	𨃢	⿱娕足
U+280E3	𨃣	⿰𧾷蚤
U+280E4	𨃤	⿰𧾷高
U+280E5	𨃥	⿰𧾷桀
U+280E6	𨃦	⿰𧾷𢍃
U+280E7	𨃧	⿰𧾷𠳮
U+280E8	𨃨	⿱展足
U+280E9	𨃩	⿰𧾷扇
U+280EA	𨃪	⿰𧾷拳
U+280EB	𨃫	⿱倒足
U+280EC	𨃬	⿰𧾷追
U+280ED	𨃭	⿰𧾷栽
U+280EE	𨃮	⿰𧾷𭩶
U+280EF	𨃯	⿰𧾷時
U+280F0	𨃰	⿰𧾷兼
U+280F1	𨃱	⿱竝足
U+280F2	𨃲	⿱書足
U+280F3	𨃳	⿰𧾷能
U+280F4	𨃴	⿰𧾷骨
U+280F5	𨃵	⿰𧾷朕
U+280F6	𨃶	⿰𧾷格
U+280F7	𨃷	⿰𧾷祝
U+280F8	𨃸	⿰𧾷竜
U+280F9	𨃹	⿰𧾷浪
U+280FA	𨃺	⿰𧾷納
U+280FB	𨃻	⿰𧾷烈
U+280FC	𨃼	⿰𧾷祚
U+280FD	𨃽	⿰𧾷辱
U+280FE	𨃾	⿱足称	⿱称足
U+280FF	𨃿	⿰𧾷𢁅
U+28100	𨄀	⿰𧾷⿸广疌	⿰𧾷𢈻
U+28101	𨄁	⿰𧾷耽
U+28102	𨄂	⿰𧾷郎
U+28103	𨄃	⿰𧾷逐
U+28104	𨄄	⿰𧾷恋
U+28105	𨄅	⿰𧾷區
U+28106	𨄆	⿰𧾷𬀷
U+28107	𨄇	⿰𧾷⿱龹⺢	⿰𧾷𣳾
U+28108	𨄈	⿰𧾷梁
U+28109	𨄉	⿰𧾷產
U+2810A	𨄊	⿰𧾷祭
U+2810B	𨄋	⿰𧾷屚
U+2810C	𨄌	⿰𧾷習
U+2810D	𨄍	⿰𧾷崔
U+2810E	𨄎	⿰𧾷基
U+2810F	𨄏	⿰𧾷票
U+28110	𨄐	⿰𧾷紫
U+28111	𨄑	⿰𧾷匐
U+28112	𨄒	⿰𧾷㝡
U+28113	𨄓	⿰𧾷巢
U+28114	𨄔	⿰𧾷專
U+28115	𨄕	⿰𧾷族
U+28116	𨄖	⿰𧾷捼
U+28117	𨄗	⿰𧾷康
U+28118	𨄘	⿰𧾷⿱𡗜𠮷
U+28119	𨄙	⿰𧾷鳥
U+2811A	𨄚	⿱將足
U+2811C	𨄜	⿰𧾷婁	⿰𧾷𡝤
U+2811D	𨄝	⿱務足
U+2811E	𨄞	⿰𧾷速
U+2811F	𨄟	⿱堆足
U+28120	𨄠	⿰𧾷悉
U+28121	𨄡	⿱孰足
U+28122	𨄢	⿰𧾷牽
U+28123	𨄣	⿰𧾷⿱夾夊
U+28124	𨄤	⿰𧾷雀
U+28125	𨄥	⿰𧾷虖
U+28126	𨄦	⿱傱足	⿱從足
U+28127	𨄧	⿱埶足
U+28128	𨄨	⿰𧾷敖
U+28129	𨄩	⿰𧾷副
U+2812A	𨄪	⿰𧾷⿸𠂆𧆞
U+2812B	𨄫	⿰𧾷⿱亼⿰舟刂	⿰𧾷⿱亼𦨉
U+2812C	𨄬	⿸麻足
U+2812D	𨄭	⿰𧾷𢉖
U+2812E	𨄮	⿰𧾷率
U+2812F	𨄯	⿱尉足
U+28130	𨄰	⿰𧾷張
U+28131	𨄱	⿰𧾷累
U+28132	𨄲	⿰𧾷患
U+28133	𨄳	⿰𧾷莆
U+28134	𨄴	⿰𧾷執
U+28135	𨄵	⿰𧾷悼
U+28136	𨄶	⿰𧾷⿱羊永	⿰𧾷羕
U+28137	𨄷	⿰𧾷爽
U+28138	𨄸	⿰𧾷⿱日折	⿰𧾷𣇄
U+28139	𨄹	⿰𧾷造
U+2813A	𨄺	⿰𧾷堆
U+2813B	𨄻	⿰𧾷寅
U+2813C	𨄼	⿰𧾷移
U+2813D	𨄽	⿰𧾷陷
U+2813E	𨄾	⿰𧾷寄
U+2813F	𨄿	⿰𧾷終
U+28140	𨅀	⿰𧾷粒
U+28141	𨅁	⿰𧾷笠
U+28142	𨅂	⿰𧾷覔
