U+2E4AE	𮒮	⿱⺾⿷⑩貝
U+2E4BF	𮒿	⿱⺾⿱&CDP-8C4F;魚
U+2E4D7	𮓗	⿸&GT-K00880;土
U+2E4D8	𮓘	⿸&U-i001+864D;匕
U+2E4D9	𮓙	⿸&U-i001+864D;几
U+2E4DC	𮓜	⿸&U-i001+864D;巾
U+2E4E1	𮓡	⿸&U-i001+864D;业
U+2E4E2	𮓢	⿸&GT-K00880;&GT-37861;
U+2E4E5	𮓥	⿸&U-i001+864D;吴
U+2E530	𮔰	⿱&CDP-8DEB;虫
U+2E54B	𮕋	⿰虫⿱&JX2-746A;⿰④⿺乚④
U+2E579	𮕹	⿱&CDP-896A;衣
U+2E5D9	𮗙	⿺見&U-i007+9B3C;
U+2E65F	𮙟	⿸&U-i001+864D;豕
U+2E662	𮙢	⿰冫⿹&CDP-896A;豖
U+2E6F7	𮛷	⿰𧾷⿱⿰&CDP-8B5E;&CDP-88D5;丁
U+2E71F	𮜟	⿸广⿱⿰耒&CDP-8851;足
U+2E785	𮞅	⿺⻍④
U+2E7BD	𮞽	⿺⻍⿹⑦方
U+2E7DA	𮟚	⿺⻍⿳⑧八方
U+2E80A	𮠊	⿰⿱⑤言⻖
U+2E81A	𮠚	⿱𠂉⑧
U+2E8E8	𮣨	⿰金⿱穴⿱𠔿&CDP-8D46;
U+2E9C2	𮧂	⿱雨⿰氵⿷&A-CDP-88CB;&CDP-8CED;
U+2EA07	𮨇	⿰⿸厂④頁
U+2EA74	𮩴	⿹&CDP-896A;&MJ011120;
U+2EA75	𮩵	⿹&CDP-896A;巾
U+2EA78	𮩸	⿹&CDP-896A;中
U+2EAC8	𮫈	⿱髟&CDP-8D46;
U+2EAD7	𮫗	⿸&U-i002+3B57;⿰鬯又
U+2EAD8	𮫘	⿱&A-U-i006+8207;⿰鬯彡
U+2EAD9	𮫙	⿱&CDP-88C8;&CDP-8BDC;
U+2EB01	𮬁	⿰魚⿸广⑥
U+2EB79	𮭹	⿱⿰&MJ006327;&MJ006327;⿸厂⿻&CDP-8C78;④
U+2EBA1	𮮡	⿱&CDP-i001-86D6;又
U+2EBBA	𮮺	⿳&AJ1-04110;⿲尸丫&CDP-89CA;⿲丿二丨
U+2EBBB	𮮻	⿳&AJ1-04110;⿲刀弓&CDP-89CA;&CDP-89C6;
U+2EBBC	𮮼	⿳&AJ1-04110;⿲尸丫&CDP-89CA;日
