# Hanyo-Denshi IVD Collection
# https://www.unicode.org/ivd/hanyo-denshi/
# 13,045 total IVSes registered in the 2012-03-02 version of the IVD
# PRIs #167 & #187
#
3762 E0102; Hanyo-Denshi; TK01022260
3763 E0100; Hanyo-Denshi; KS082260
3763 E0101; Hanyo-Denshi; TK01022240
3763 E0102; Hanyo-Denshi; TK01022300
3769 E0100; Hanyo-Denshi; KS082760
3769 E0101; Hanyo-Denshi; TK01022450
376B E0101; Hanyo-Denshi; JD0809
376B E0102; Hanyo-Denshi; TK01022630
3778 E0100; Hanyo-Denshi; IA0221
3778 E0101; Hanyo-Denshi; KS085370
37A4 E0100; Hanyo-Denshi; IA1639
37A4 E0101; Hanyo-Denshi; TK01024350
37B7 E0100; Hanyo-Denshi; IA0227
37B7 E0101; Hanyo-Denshi; KS088980
37C1 E0101; Hanyo-Denshi; IA0232
37C1 E0102; Hanyo-Denshi; TK01024680
37C1 E0103; Hanyo-Denshi; TK01024690
37D0 E0100; Hanyo-Denshi; KS092070
37D0 E0101; Hanyo-Denshi; KS092330
37DF E0100; Hanyo-Denshi; IA0237
37DF E0101; Hanyo-Denshi; JTB079
37E7 E0100; Hanyo-Denshi; IA0240
37E7 E0101; Hanyo-Denshi; KS094210
37F1 E0100; Hanyo-Denshi; KS094420
37F1 E0101; Hanyo-Denshi; TK01025570
3809 E0100; Hanyo-Denshi; IA0245
3809 E0101; Hanyo-Denshi; KS096130
3817 E0100; Hanyo-Denshi; IA0251
3817 E0101; Hanyo-Denshi; JTB085
382F E0101; Hanyo-Denshi; IA0254
382F E0102; Hanyo-Denshi; KS099080
382F E0103; Hanyo-Denshi; JD0879
3836 E0101; Hanyo-Denshi; JD0881
3836 E0102; Hanyo-Denshi; JTB09F
3836 E0103; Hanyo-Denshi; TK01026830
384C E0100; Hanyo-Denshi; IA0256
384C E0101; Hanyo-Denshi; IB0669
3855 E0100; Hanyo-Denshi; KS101790
3855 E0101; Hanyo-Denshi; TK01027100
385B E0100; Hanyo-Denshi; KS102110
385B E0101; Hanyo-Denshi; KS102300
3862 E0100; Hanyo-Denshi; IA0258
3862 E0101; Hanyo-Denshi; JTB0BC
3895 E0100; Hanyo-Denshi; IA0268
3895 E0101; Hanyo-Denshi; TK01028200
38B4 E0100; Hanyo-Denshi; IA0275
38B4 E0101; Hanyo-Denshi; JTB10A
38C7 E0100; Hanyo-Denshi; IA1841
38C7 E0101; Hanyo-Denshi; KS112160
38D2 E0100; Hanyo-Denshi; IA1850
38D2 E0101; Hanyo-Denshi; TK01030370
38DF E0100; Hanyo-Denshi; IA1857
38DF E0101; Hanyo-Denshi; TK01030630
38F7 E0100; Hanyo-Denshi; IA1867
38F7 E0101; Hanyo-Denshi; TK01031320
3900 E0100; Hanyo-Denshi; KS117270
3900 E0101; Hanyo-Denshi; KS117330
3906 E0100; Hanyo-Denshi; IA1876
3906 E0101; Hanyo-Denshi; TK01031420
3917 E0101; Hanyo-Denshi; IA0290
3917 E0102; Hanyo-Denshi; JTC0E4
393A E0100; Hanyo-Denshi; IA0304
393A E0101; Hanyo-Denshi; KS119130
396F E0101; Hanyo-Denshi; JD1264
396F E0102; Hanyo-Denshi; KS125570
3983 E0100; Hanyo-Denshi; IA1974
3983 E0101; Hanyo-Denshi; TK01033220
399E E0100; Hanyo-Denshi; IA0320
399E E0101; Hanyo-Denshi; TK01034210
39A2 E0100; Hanyo-Denshi; IA2004
39A2 E0101; Hanyo-Denshi; JT39A2
39A2 E0102; Hanyo-Denshi; TK01033780
39A2 E0103; Hanyo-Denshi; TK01034160
39A5 E0100; Hanyo-Denshi; IA0323
39A5 E0101; Hanyo-Denshi; TK01034360
39AE E0100; Hanyo-Denshi; IA0324
39AE E0101; Hanyo-Denshi; KS130240
39B6 E0100; Hanyo-Denshi; IA0327
39B6 E0101; Hanyo-Denshi; JTB1CE
39DE E0100; Hanyo-Denshi; IA0330
39DE E0101; Hanyo-Denshi; IB0688S
39DE E0102; Hanyo-Denshi; TK01035250
3A17 E0100; Hanyo-Denshi; IA0334
3A17 E0101; Hanyo-Denshi; JTB208
3A28 E0100; Hanyo-Denshi; IA2192
3A28 E0101; Hanyo-Denshi; TK01035930
3A6E E0101; Hanyo-Denshi; IA0341
3A6E E0102; Hanyo-Denshi; IP6511
3A9C E0100; Hanyo-Denshi; IA2288
3A9C E0101; Hanyo-Denshi; KS149250
3AA4 E0100; Hanyo-Denshi; IA2301
3AA4 E0101; Hanyo-Denshi; KS149630
3AB4 E0100; Hanyo-Denshi; IA2313
3AB4 E0101; Hanyo-Denshi; TK01037540
3AE0 E0100; Hanyo-Denshi; JTB290
3AE0 E0101; Hanyo-Denshi; IA0359
3AE6 E0100; Hanyo-Denshi; IA0361
3AE6 E0101; Hanyo-Denshi; KS156500
3AEF E0100; Hanyo-Denshi; IA0365
3AEF E0101; Hanyo-Denshi; TK01039510
3AF7 E0100; Hanyo-Denshi; IA0369
3AF7 E0101; Hanyo-Denshi; KS157460
3B05 E0100; Hanyo-Denshi; IA2357
3B05 E0101; Hanyo-Denshi; TK01040200
3B08 E0100; Hanyo-Denshi; IB2026
3B08 E0101; Hanyo-Denshi; KS158740
3B0A E0100; Hanyo-Denshi; IA0372
3B0A E0101; Hanyo-Denshi; JT3B0A
3B15 E0100; Hanyo-Denshi; TK01040230
3B15 E0101; Hanyo-Denshi; TK01040590
3B19 E0100; Hanyo-Denshi; IA2372
3B19 E0101; Hanyo-Denshi; TK01040670
3B1C E0101; Hanyo-Denshi; IA0374
3B1C E0102; Hanyo-Denshi; TK01040820
3B1D E0100; Hanyo-Denshi; IA0375
3B1D E0101; Hanyo-Denshi; IB2038
3B26 E0100; Hanyo-Denshi; IA0378
3B26 E0101; Hanyo-Denshi; KS160390
3B27 E0100; Hanyo-Denshi; IA0602
3B27 E0101; Hanyo-Denshi; JT3B27
3B27 E0102; Hanyo-Denshi; JTB85C
3B2D E0100; Hanyo-Denshi; IA2383
3B2D E0101; Hanyo-Denshi; TK01040970
3B36 E0100; Hanyo-Denshi; IA0381
3B36 E0101; Hanyo-Denshi; TK01042000
3B3C E0100; Hanyo-Denshi; IA0382
3B3C E0101; Hanyo-Denshi; KS162030
3B52 E0100; Hanyo-Denshi; IA2410
3B52 E0101; Hanyo-Denshi; KS165470
3B5B E0100; Hanyo-Denshi; IA2415
3B5B E0101; Hanyo-Denshi; TK01043800
3B69 E0100; Hanyo-Denshi; IA2423
3B69 E0101; Hanyo-Denshi; TK01044190
3B69 E0102; Hanyo-Denshi; TK01044390
3B74 E0100; Hanyo-Denshi; IA0391
3B74 E0101; Hanyo-Denshi; JTB32B
3B78 E0100; Hanyo-Denshi; IA0392
3B78 E0101; Hanyo-Denshi; KS168370
3B8D E0101; Hanyo-Denshi; JD1512
3B8D E0102; Hanyo-Denshi; TK01045160
3B91 E0100; Hanyo-Denshi; IA2450
3B91 E0101; Hanyo-Denshi; TK01044010
3BA4 E0101; Hanyo-Denshi; JD1520
3BA4 E0102; Hanyo-Denshi; TK01045380
3BAB E0100; Hanyo-Denshi; IA2470
3BAB E0101; Hanyo-Denshi; TK01045670
3BAE E0100; Hanyo-Denshi; IA2473
3BAE E0101; Hanyo-Denshi; KS173700
3BB5 E0100; Hanyo-Denshi; IA0404
3BB5 E0101; Hanyo-Denshi; KS173070
3BB8 E0100; Hanyo-Denshi; IB0715
3BB8 E0101; Hanyo-Denshi; JTB35F
3BCD E0101; Hanyo-Denshi; JD1540
3BCD E0102; Hanyo-Denshi; JTB368
3BF3 E0101; Hanyo-Denshi; IA0412
3BF3 E0102; Hanyo-Denshi; KS177780
3BFE E0100; Hanyo-Denshi; IB0319
3BFE E0101; Hanyo-Denshi; IB0723
3C05 E0100; Hanyo-Denshi; IB0320
3C05 E0101; Hanyo-Denshi; JTB3B4
3C0D E0100; Hanyo-Denshi; IA2548
3C0D E0101; Hanyo-Denshi; KS180330
3C1B E0100; Hanyo-Denshi; KS181050
3C1B E0101; Hanyo-Denshi; TK01047210
3C4E E0100; Hanyo-Denshi; IA2609
3C4E E0101; Hanyo-Denshi; KS184420
3C4F E0100; Hanyo-Denshi; IA0423
3C4F E0101; Hanyo-Denshi; KS184580
3C73 E0100; Hanyo-Denshi; IA2637
3C73 E0101; Hanyo-Denshi; KS187680
3C8A E0100; Hanyo-Denshi; IA0426
3C8A E0101; Hanyo-Denshi; KS189320
3CBA E0100; Hanyo-Denshi; IA2702
